symbol,entry_date,exit_date,entry_price,exit_price,return_pct,spy_return_pct,excess_pct,days_held,exit_reason
DINO.US,2023-01-06,2023-02-09,44.44,45.69,2.81,4.9,-2.09,23,Score deterioration
NUE.US,2023-01-12,2023-03-15,149.05,138.62,-7.0,-1.93,-5.07,42,Score deterioration
STLD.US,2023-01-13,2023-03-15,106.69,97.34,-8.76,-2.31,-6.45,41,Score deterioration
PR.US,2023-01-13,2023-03-15,8.8,8.28,-5.89,-2.31,-3.58,41,Score deterioration
MPC.US,2023-01-10,2023-05-02,108.59,109.67,0.99,5.59,-4.6,77,Score deterioration
UFPI.US,2023-01-13,2023-05-05,83.4,78.46,-5.92,3.94,-9.87,77,Stale (63d timer)
MPWR.US,2023-02-10,2023-05-17,480.89,407.13,-15.34,2.15,-17.49,66,Stale (63d timer)
LSTR.US,2023-01-13,2023-06-06,159.32,172.2,8.09,7.82,0.27,98,Stale (63d timer)
BLDR.US,2023-01-13,2023-06-07,71.93,122.32,70.05,7.45,62.61,99,Stale (63d timer)
EEFT.US,2023-03-27,2023-06-28,109.59,114.64,4.61,10.47,-5.86,64,Stale (63d timer)
WSO.US,2023-01-11,2023-06-29,253.82,351.74,38.58,11.6,26.98,116,Stale (63d timer)
ADI.US,2023-04-03,2023-08-07,186.55,181.54,-2.68,10.08,-12.77,86,Score deterioration
ALGM.US,2023-07-03,2023-08-17,45.23,37.39,-17.33,-1.69,-15.64,32,Score deterioration
APP.US,2023-05-18,2023-08-22,25.08,39.48,57.42,4.9,52.51,65,Stale (63d timer)
SMCI.US,2023-05-08,2023-09-11,13.66,27.73,102.97,9.06,93.92,86,Stale (63d timer)
LSCC.US,2023-07-06,2023-09-20,91.76,84.61,-7.79,0.12,-7.91,53,Score deterioration
BLD.US,2023-01-12,2023-09-21,178.49,248.37,39.15,9.88,29.27,173,Score deterioration
TKO.US,2023-08-11,2023-09-21,105.82,84.56,-20.09,-2.86,-17.23,28,Score deterioration
NVR.US,2023-06-08,2023-10-03,5806.16,5856.63,0.87,-1.04,1.91,80,Stale (63d timer)
PBF.US,2023-09-22,2023-10-05,48.92,42.29,-13.55,-1.38,-12.17,9,Score deterioration
EXPE.US,2023-09-12,2023-10-20,108.54,92.7,-14.59,-5.23,-9.36,28,Score deterioration
FN.US,2023-08-24,2023-12-07,158.91,165.11,3.9,5.25,-1.35,73,Stale (63d timer)
TMHC.US,2023-03-23,2023-12-14,36.64,52.42,43.07,20.92,22.14,184,Stale (63d timer)
MCHP.US,2023-05-05,2024-01-03,69.77,79.69,14.22,14.9,-0.68,166,Score deterioration
ABNB.US,2023-12-15,2024-01-05,146.6,135.98,-7.24,-0.3,-6.94,13,Score deterioration
PHM.US,2023-10-12,2024-01-10,70.57,103.45,46.59,10.34,36.26,61,Score deterioration
CSCO.US,2023-06-07,2024-02-20,46.06,45.69,-0.81,17.78,-18.59,176,Score deterioration
DY.US,2023-12-12,2024-03-19,109.78,140.85,28.3,11.92,16.38,66,Stale (63d timer)
IDCC.US,2023-08-24,2024-04-03,80.91,93.65,15.75,20.16,-4.42,152,Score deterioration
ANET.US,2023-10-12,2024-04-19,48.25,61.52,27.5,15.0,12.5,130,Score deterioration
IBM.US,2024-01-22,2024-04-25,161.68,159.45,-1.38,4.47,-5.85,66,Score deterioration
META.US,2023-10-12,2024-04-29,321.64,429.71,33.6,18.46,15.14,136,Score deterioration
APPF.US,2024-01-17,2024-05-15,174.76,249.87,42.98,12.52,30.46,83,Stale (63d timer)
WAB.US,2024-04-26,2024-05-30,162.78,167.61,2.97,2.82,0.15,23,Score deterioration
AMAT.US,2024-01-22,2024-06-03,165.13,210.92,27.73,9.51,18.21,92,Stale (63d timer)
KEX.US,2024-04-26,2024-06-05,112.0,120.43,7.53,5.2,2.33,27,Score deterioration
FIX.US,2024-02-21,2024-06-07,240.06,302.97,26.2,7.74,18.47,75,Stale (63d timer)
GDDY.US,2024-03-21,2024-06-21,120.36,137.66,14.37,4.61,9.76,63,Stale (63d timer)
TMUS.US,2024-06-06,2024-07-24,174.96,172.16,-1.6,1.56,-3.16,32,Score deterioration
